time,luminosity,timeErrPos,timeErrNeg,luminosityErrPos,luminosityErrNeg,index,indexErrPos,indexErrNeg
31.697,1.79913e+50,0.162117,0.197169,4.76312e+49,4.17403e+49,0.983907,0.213675,-0.181084
32.0088,1.98529e+50,0.17425,0.149646,4.00667e+49,3.58962e+49,0.971789,0.143653,-0.122112
32.3175,2.31866e+50,0.14122,0.134479,4.08415e+49,3.71018e+49,0.959905,0.112602,-0.0945197
32.6242,2.05262e+50,0.14459,0.165487,4.1404e+49,3.66524e+49,0.94821,0.144492,-0.119268
32.9602,1.64009e+50,0.195821,0.191439,3.33193e+49,2.92354e+49,0.944503,0.143898,-0.118788
33.3192,2.07139e+50,0.143242,0.163128,3.80188e+49,3.32885e+49,0.949059,0.112629,-0.0946993
33.6579,1.61138e+50,0.200539,0.195484,3.32474e+49,2.92752e+49,0.953314,0.14447,-0.122875
34.0418,1.90153e+50,0.187058,0.183687,3.44109e+49,3.03356e+49,1.13949,0.111657,-0.0940722
34.3778,2.22717e+50,0.188069,0.148972,4.58365e+49,3.98502e+49,1.30488,0.143019,-0.119135
34.7192,2.63907e+50,0.127401,0.153354,5.29977e+49,4.66909e+49,1.2671,0.14052,-0.117079
35.0138,2.0851e+50,0.149309,0.167172,3.69785e+49,3.31051e+49,1.0652,0.109507,-0.092266
35.3111,1.57952e+50,0.220425,0.147961,2.97258e+49,2.6933e+49,0.863161,0.126917,-0.108185
35.6892,1.95657e+50,0.139872,0.158072,3.39947e+49,3.11501e+49,0.880556,0.108074,-0.0920613
35.9882,1.87916e+50,0.164813,0.158746,3.226e+49,2.95535e+49,0.959732,0.106675,-0.0905392
36.3185,1.94812e+50,0.157735,0.16515,3.89364e+49,3.49691e+49,1.04645,0.141895,-0.12022
36.6222,2.29718e+50,0.118975,0.145939,4.07527e+49,3.71518e+49,0.967729,0.114011,-0.0965001
36.8689,2.09926e+50,0.149983,0.127738,3.68536e+49,3.35889e+49,0.872365,0.111003,-0.0936598
37.1631,2.02624e+50,0.131109,0.144253,4.2135e+49,3.75674e+49,0.762391,0.151379,-0.12755
37.4044,2.65967e+50,0.105494,0.110212,4.69426e+49,4.27668e+49,0.844631,0.111879,-0.094374
37.6404,2.53424e+50,0.10482,0.130098,4.47779e+49,4.0847e+49,0.924521,0.112637,-0.0953068
37.8652,2.72331e+50,0.107516,0.120324,5.61146e+49,5.00564e+49,1.00018,0.148933,-0.126136
38.1486,1.82178e+50,0.166498,0.175598,3.20391e+49,2.9215e+49,1.03164,0.111146,-0.0940738
38.4799,1.90627e+50,0.16515,0.164476,3.57108e+49,3.16886e+49,1.06812,0.119736,-0.101151
38.7961,2.02515e+50,0.168857,0.150994,4.08997e+49,3.5695e+49,1.07966,0.13739,-0.116037
39.1362,1.97291e+50,0.149309,0.171554,3.42483e+49,3.11551e+49,1.03557,0.10662,-0.0902256
39.456,1.80999e+50,0.172228,0.170206,3.48073e+49,3.11312e+49,0.994458,0.12927,-0.109619
39.7391,3.02567e+50,0.0970677,0.111223,5.62871e+49,5.02329e+49,1.02271,0.120194,-0.101891
39.9912,2.18329e+50,0.144253,0.155039,3.88254e+49,3.46923e+49,1.09224,0.109667,-0.0926922
40.2427,2.83539e+50,0.12875,0.107516,5.78694e+49,5.15067e+49,1.16115,0.144908,-0.12228
40.5103,2.35763e+50,0.134816,0.138524,4.32702e+49,3.84829e+49,1.06657,0.116604,-0.0984926
40.7671,2.55907e+50,0.116616,0.122346,4.57617e+49,4.08731e+49,0.93659,0.110907,-0.0940848
41.001,2.75499e+50,0.0930233,0.117627,5.51765e+49,4.9789e+49,0.824802,0.143315,-0.121738
41.2056,2.56821e+50,0.11392,0.11156,4.55539e+49,4.15063e+49,0.821366,0.11319,-0.0961942
41.4621,1.96099e+50,0.153017,0.142568,3.32114e+49,3.03583e+49,0.817081,0.101663,-0.0865994
41.7823,1.8898e+50,0.136502,0.166835,3.69068e+49,3.33403e+49,0.81177,0.135249,-0.115395
42.0442,2.36728e+50,0.124031,0.125379,4.09254e+49,3.76857e+49,0.860398,0.109484,-0.0933505
42.3168,2.06329e+50,0.140883,0.148635,3.50034e+49,3.22496e+49,0.917906,0.104214,-0.0886055
42.5834,2.4411e+50,0.125379,0.125716,4.69424e+49,4.24316e+49,0.973777,0.133778,-0.113578
42.8588,2.25363e+50,0.122346,0.149646,4.03674e+49,3.67383e+49,0.97491,0.116712,-0.0990431
43.1227,2.06146e+50,0.152005,0.14122,3.55392e+49,3.25472e+49,0.953913,0.107334,-0.0908749
43.4223,1.9507e+50,0.159757,0.147961,3.92423e+49,3.53129e+49,0.93023,0.144804,-0.122435
43.727,2.14439e+50,0.145939,0.144928,3.78162e+49,3.46165e+49,1.02882,0.113077,-0.0955379
44.0222,2.17976e+50,0.15032,0.149646,3.99978e+49,3.64044e+49,1.13959,0.122149,-0.102991
44.2939,2.35402e+50,0.169532,0.121335,4.77201e+49,4.28112e+49,1.22898,0.145982,-0.123038
44.6266,2.22026e+50,0.152679,0.163128,3.93416e+49,3.59531e+49,1.28432,0.114534,-0.0963664
44.9309,2.56392e+50,0.131446,0.151668,5.4324e+49,4.83673e+49,1.33459,0.157044,-0.131978
45.2238,2.22616e+50,0.153017,0.161105,3.99928e+49,3.62307e+49,1.25863,0.116869,-0.0983742
45.511,2.68776e+50,0.112235,0.134479,5.0844e+49,4.60635e+49,1.17027,0.128394,-0.108534
45.7391,2.48747e+50,0.145265,0.116279,4.86501e+49,4.38091e+49,1.12745,0.136123,-0.11511
46.0158,2.48789e+50,0.129424,0.131446,4.33398e+49,3.94321e+49,1.1207,0.108567,-0.0918083
46.3384,1.64919e+50,0.19818,0.192787,3.28714e+49,2.93183e+49,1.11288,0.139064,-0.117598
46.6983,2.09779e+50,0.154702,0.16178,3.82182e+49,3.40085e+49,1.16361,0.116019,-0.0974305
47.0138,2.15408e+50,0.157061,0.160768,4.41098e+49,3.87318e+49,1.22098,0.145103,-0.120309
47.305,2.44152e+50,0.148635,0.134142,4.92898e+49,4.31863e+49,1.25393,0.140863,-0.116808
47.6077,2.43536e+50,0.129087,0.154028,4.5865e+49,4.13316e+49,1.26661,0.126908,-0.10641
47.8524,2.80295e+50,0.130772,0.115605,5.62271e+49,5.04642e+49,1.26503,0.143366,-0.120465
48.09,3.35245e+50,0.0967307,0.106505,5.90954e+49,5.39839e+49,1.23695,0.11286,-0.0949548
48.3138,2.39766e+50,0.153354,0.127401,4.81703e+49,4.28864e+49,1.21062,0.140851,-0.118645
48.6569,1.77463e+50,0.198854,0.189754,3.24761e+49,2.90672e+49,1.24836,0.118021,-0.099365
49.0091,2.14021e+50,0.178295,0.153354,4.15546e+49,3.6778e+49,1.30665,0.131194,-0.110265
49.3701,1.99346e+50,0.190765,0.182676,3.9084e+49,3.50061e+49,1.38955,0.13676,-0.114854
49.7708,1.89583e+50,0.215369,0.209976,3.65694e+49,3.21518e+49,1.50989,0.12772,-0.10652
50.2585,1.77949e+50,0.188743,0.272329,3.72149e+49,3.24672e+49,1.54543,0.147542,-0.122848
50.6606,1.83792e+50,0.197506,0.213347,3.4748e+49,3.05393e+49,1.39484,0.121005,-0.101449
51.0367,1.99203e+50,0.185709,0.178632,4.19445e+49,3.68427e+49,1.2828,0.151856,-0.12768
51.3751,2.30282e+50,0.171217,0.152679,4.17615e+49,3.74903e+49,1.35617,0.117363,-0.0983856
51.7412,2.10379e+50,0.169194,0.19481,4.62379e+49,4.0693e+49,1.43498,0.162693,-0.135989
52.0728,2.56522e+50,0.136839,0.162454,4.82207e+49,4.27081e+49,1.41808,0.123288,-0.103086
52.422,1.86038e+50,0.191102,0.212673,3.83299e+49,3.353e+49,1.38797,0.143869,-0.120402
52.8005,2.10879e+50,0.178295,0.187395,4.01786e+49,3.58057e+49,1.43543,0.127935,-0.106945
53.2039,2.08693e+50,0.164139,0.225143,4.30281e+49,3.76693e+49,1.5247,0.145211,-0.120806
53.6185,1.87994e+50,0.223458,0.250421,3.7988e+49,3.3145e+49,1.65537,0.139381,-0.116112
54.0607,2.35658e+50,0.205258,0.218739,4.50532e+49,4.00417e+49,1.82419,0.126989,-0.107335
54.4847,2.60797e+50,0.188743,0.219077,5.25485e+49,4.7164e+49,1.92298,0.142494,-0.12081
54.8841,2.61479e+50,0.19245,0.21065,4.70652e+49,4.27086e+49,1.90005,0.116727,-0.0987919
55.3037,2.21292e+50,0.238625,0.227165,4.77097e+49,4.19277e+49,1.87614,0.156414,-0.132202
55.7819,2.06574e+50,0.245366,0.239636,3.75642e+49,3.39576e+49,1.81268,0.120096,-0.101237
56.214,2.36904e+50,0.206269,0.186384,4.88574e+49,4.35551e+49,1.75121,0.147707,-0.123949
56.5999,2.71045e+50,0.166835,0.179643,5.34766e+49,4.70123e+49,1.75348,0.133658,-0.11205
56.9717,2.31887e+50,0.209302,0.204921,4.58784e+49,4.05654e+49,1.7916,0.136617,-0.114057
57.4267,2.12893e+50,0.216717,0.245366,4.3822e+49,3.82828e+49,1.83277,0.143156,-0.119534
57.8517,2.73011e+50,0.162454,0.207954,5.26463e+49,4.63289e+49,1.8654,0.126571,-0.10666
58.2346,2.23345e+50,0.22211,0.220425,4.62583e+49,4.09961e+49,1.81905,0.148012,-0.124882
58.6138,2.84234e+50,0.12639,0.157398,5.90216e+49,5.14974e+49,1.49945,0.149997,-0.121571
58.9063,2.44975e+50,0.129761,0.165824,5.73912e+49,4.87836e+49,1.32579,0.178224,-0.143659
59.1645,2.65999e+50,0.149646,0.12875,5.11263e+49,4.50072e+49,1.35652,0.129483,-0.10713
59.4702,2.42849e+50,0.15032,0.15605,4.92128e+49,4.32944e+49,1.37266,0.141491,-0.118607
59.7819,2.05529e+50,0.19818,0.161443,3.79815e+49,3.36677e+49,1.355,0.118979,-0.0998738
60.1105,2.54321e+50,0.157398,0.130435,5.41138e+49,4.75197e+49,1.3494,0.153615,-0.129025
60.4314,2.42889e+50,0.153691,0.163465,4.44494e+49,3.97985e+49,1.42154,0.120857,-0.100978
60.727,2.72814e+50,0.142568,0.141557,6.22901e+49,5.41802e+49,1.48766,0.170797,-0.142227
61.0455,2.00583e+50,0.214021,0.175935,3.83327e+49,3.36894e+49,1.49192,0.125231,-0.104309
61.4712,1.89959e+50,0.202562,0.211999,4.2842e+49,3.72083e+49,1.49354,0.168121,-0.14011
61.8254,2.33303e+50,0.162454,0.152005,4.24926e+49,3.83922e+49,1.36164,0.119626,-0.100059
62.1439,2.3081e+50,0.143242,0.15605,4.4656e+49,4.0217e+49,1.23516,0.135167,-0.113877
62.4469,2.06696e+50,0.166835,0.159757,3.86799e+49,3.50498e+49,1.21069,0.126651,-0.106708
62.7924,1.89716e+50,0.183013,0.178295,3.46699e+49,3.14873e+49,1.25461,0.120118,-0.100871
63.1331,2.27189e+50,0.150657,0.157735,4.67742e+49,4.17456e+49,1.27249,0.149709,-0.125612
63.4415,2.30981e+50,0.133468,0.157735,4.06463e+49,3.70459e+49,1.19515,0.112147,-0.094375
63.7199,2.1847e+50,0.15032,0.144928,4.21909e+49,3.78387e+49,1.12566,0.13044,-0.110175
64.0755,1.66749e+50,0.187732,0.205595,3.05656e+49,2.7631e+49,1.11114,0.120751,-0.102011
64.4317,2.04807e+50,0.15605,0.16852,3.72687e+49,3.31875e+49,1.1392,0.114807,-0.0969268
64.7715,1.9641e+50,0.160094,0.183687,4.09979e+49,3.63952e+49,1.17757,0.150644,-0.127154
65.1031,2.01003e+50,0.195484,0.171554,3.5955e+49,3.272e+49,1.34071,0.117344,-0.0983836
65.4813,2.05208e+50,0.212336,0.182676,4.42712e+49,3.91432e+49,1.52571,0.161144,-0.133985
65.8719,2.27897e+50,0.185709,0.178295,4.34166e+49,3.87855e+49,1.57314,0.129061,-0.107321
66.276,1.91157e+50,0.219414,0.218402,4.08704e+49,3.60902e+49,1.58271,0.15807,-0.131527
66.7118,2.00918e+50,0.212673,0.216717,3.74844e+49,3.37445e+49,1.62599,0.126279,-0.105259
67.1119,2.34277e+50,0.19245,0.187058,4.9273e+49,4.37072e+49,1.67364,0.154148,-0.128965
67.4648,2.84061e+50,0.138187,0.160431,5.40286e+49,4.81601e+49,1.63857,0.127457,-0.106479
67.7718,2.37253e+50,0.173913,0.168857,4.9618e+49,4.31084e+49,1.58228,0.147341,-0.122584
68.1534,1.92917e+50,0.199865,0.20728,3.72179e+49,3.31954e+49,1.5233,0.132373,-0.110196
68.5349,2.3817e+50,0.138861,0.181665,4.7725e+49,4.26473e+49,1.47043,0.143445,-0.119892
68.8719,1.96313e+50,0.201887,0.19818,3.80036e+49,3.42063e+49,1.52241,0.135244,-0.113126
69.2504,2.59789e+50,0.153017,0.176609,4.94518e+49,4.46294e+49,1.65836,0.131056,-0.110082
69.6414,2.02162e+50,0.205258,0.237951,3.99489e+49,3.57934e+49,1.69808,0.140831,-0.118328
70.0327,2.18686e+50,0.192113,0.186047,4.1204e+49,3.70347e+49,1.59682,0.12889,-0.107702
70.4351,1.91865e+50,0.183013,0.210313,3.80944e+49,3.41488e+49,1.63119,0.141978,-0.118606
70.7007,2.19765e+50,0.0893158,0.082238,3.90583e+49,3.60046e+49,1.85767,0.119465,-0.101282
70.9023,1.73436e+50,0.129761,0.112235,3.60058e+49,3.26386e+49,2.02897,0.154335,-0.13161
71.1277,2.18132e+50,0.108527,0.0953825,3.87954e+49,3.58647e+49,2.07871,0.119624,-0.102082
71.3374,1.48347e+50,0.101449,0.101112,2.90059e+49,2.73793e+49,2.11306,0.114591,-0.098013
71.5241,1.83617e+50,0.0923492,0.0852713,3.91499e+49,3.62646e+49,2.14357,0.142992,-0.122429
71.7283,2.27648e+50,0.0893158,0.112235,4.16404e+49,3.82539e+49,2.1125,0.125912,-0.106952
71.9184,1.73116e+50,0.110549,0.100775,3.48607e+49,3.15902e+49,2.05977,0.13902,-0.114867
72.1385,1.85798e+50,0.110886,0.109875,4.48098e+49,3.897e+49,2.00335,0.191201,-0.156761
72.3596,1.41387e+50,0.0815639,0.110212,3.06993e+49,2.79828e+49,1.98732,0.143154,-0.117259
72.5352,1.42816e+50,0.0943714,0.0936973,3.62972e+49,3.21308e+49,1.97463,0.189271,-0.154934
72.7162,1.48964e+50,0.107516,0.0866195,3.38298e+49,3.05123e+49,2.0543,0.157531,-0.129159
72.939,1.4268e+50,0.11156,0.115268,3.06008e+49,2.80117e+49,2.17505,0.141779,-0.117462
73.148,1.877e+50,0.0930233,0.0974048,4.75357e+49,4.24836e+49,2.28531,0.188249,-0.156597
73.3404,1.71719e+50,0.10246,0.09909,3.71095e+49,3.39704e+49,2.25067,0.143862,-0.119572
73.5581,1.50093e+50,0.106505,0.115268,3.22285e+49,2.9498e+49,2.21159,0.1421,-0.117753
73.7654,1.40563e+50,0.127738,0.100775,3.56296e+49,3.17506e+49,2.17449,0.188503,-0.156038
73.9926,1.90144e+50,0.0785305,0.0997641,4.18267e+49,3.81196e+49,2.22722,0.148735,-0.123249
74.2406,1.21645e+50,0.131109,0.169532,2.55808e+49,2.35495e+49,2.29242,0.136381,-0.113563
74.4938,1.60804e+50,0.124368,0.122346,3.8986e+49,3.51214e+49,2.35871,0.175806,-0.146773
74.7529,1.60882e+50,0.119312,0.134816,3.55943e+49,3.25204e+49,2.38874,0.150322,-0.125524
75.0266,1.39348e+50,0.146613,0.154365,2.87774e+49,2.66207e+49,2.4119,0.131413,-0.109846
75.3172,1.53753e+50,0.134816,0.143916,3.47346e+49,3.16844e+49,2.43638,0.155438,-0.130055
75.5939,1.55744e+50,0.142231,0.141894,3.70818e+49,3.35596e+49,2.46507,0.170118,-0.14236
75.8588,1.66939e+50,0.155039,0.122683,3.56562e+49,3.28145e+49,2.50093,0.140647,-0.117804
76.1978,1.36479e+50,0.172228,0.184024,2.8053e+49,2.605e+49,2.54665,0.129354,-0.108685
76.572,1.35251e+50,0.180654,0.201887,3.06122e+49,2.79802e+49,2.59685,0.156598,-0.131888
76.9683,1.29457e+50,0.188406,0.215706,2.90967e+49,2.6624e+49,2.60676,0.154668,-0.13027
77.3343,1.39642e+50,0.187732,0.17762,2.86976e+49,2.66384e+49,2.58476,0.130071,-0.109439
77.7223,1.22011e+50,0.204247,0.200202,2.55138e+49,2.35935e+49,2.56157,0.134838,-0.113245
78.0907,1.39987e+50,0.173239,0.163802,3.27673e+49,2.97494e+49,2.53964,0.165937,-0.139263
78.4479,1.07529e+50,0.209976,0.184024,2.4273e+49,2.21447e+49,2.43144,0.155861,-0.130644
